datetime,is_holiday,day_sin,day_cos,week_sin,week_cos,Tod_1h,Power_1h,Temperature,Humidity,fourier_base_midnight
2025-07-06 12:00:00,1,1.2246467991473532e-16,-1.0,0.4338837391175581,0.9009688679024191,34.10055555555556,107.398,33.3,54.0,
2025-07-06 13:00:00,1,-0.2588190451025208,-0.9659258262890683,0.467268628273062,0.8841153935046098,35.2426388888889,16.509,33.9,56.0,
2025-07-06 14:00:00,1,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,35.56930555555556,125.393,33.0,59.0,
2025-07-06 15:00:00,1,-0.7071067811865471,-0.7071067811865479,0.5320320765153366,0.8467241992282841,35.45513888888889,145.397,34.0,57.0,
2025-07-06 16:00:00,1,-0.8660254037844384,-0.5000000000000004,0.5633200580636221,0.8262387743159949,35.60888888888889,128.517,33.6,63.0,
2025-07-06 17:00:00,1,-0.9659258262890683,-0.25881904510252063,0.5938201855735017,0.8045977797666684,35.35472222222222,74.23,32.0,64.0,
2025-07-06 18:00:00,1,-1.0,-1.8369701987210297e-16,0.6234898018587335,0.7818314824680298,34.152499999999996,0.0,31.3,69.0,
2025-07-06 19:00:00,1,-0.9659258262890684,0.2588190451025203,0.6522874112781211,0.757971723145453,32.446111111111115,0.0,28.9,76.0,
2025-07-06 20:00:00,1,-0.8660254037844386,0.5000000000000001,0.6801727377709194,0.7330518718298263,30.417222222222225,0.0,28.0,81.0,
2025-07-06 21:00:00,1,-0.7071067811865477,0.7071067811865474,0.7071067811865475,0.7071067811865476,29.815416666666664,0.0,27.4,84.0,
2025-07-06 22:00:00,1,-0.5000000000000004,0.8660254037844384,0.7330518718298262,0.6801727377709195,29.078888888888887,0.0,26.9,86.0,
2025-07-06 23:00:00,1,-0.25881904510252157,0.9659258262890681,0.7579717231454529,0.6522874112781212,28.593194444444443,0.0,26.4,89.0,
2025-07-07 00:00:00,0,0.0,1.0,0.7818314824680298,0.6234898018587336,27.92207207207207,0.0,26.0,91.0,
2025-07-07 01:00:00,0,0.25881904510252074,0.9659258262890683,0.8045977797666684,0.5938201855735016,27.699861111111115,0.0,25.8,92.0,
2025-07-07 02:00:00,0,0.49999999999999994,0.8660254037844387,0.8262387743159949,0.563320058063622,27.82916666666666,0.0,26.2,90.0,
2025-07-07 03:00:00,0,0.7071067811865475,0.7071067811865476,0.8467241992282841,0.5320320765153366,27.51138888888889,0.0,26.5,89.0,
2025-07-07 04:00:00,0,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,27.38180555555556,0.0,26.3,90.0,
2025-07-07 05:00:00,0,0.9659258262890683,0.25881904510252074,0.8841153935046098,0.467268628273062,27.199999999999996,0.0,26.3,89.0,
2025-07-07 06:00:00,0,1.0,6.123233995736766e-17,0.9009688679024191,0.4338837391175582,27.277916666666666,0.0,26.8,88.0,
2025-07-07 07:00:00,0,0.9659258262890683,-0.25881904510252063,0.9165622558699761,0.3998920243197411,28.502499999999998,26.489,28.5,81.0,
2025-07-07 08:00:00,0,0.8660254037844387,-0.4999999999999998,0.9308737486442042,0.365341024366395,30.149583333333336,178.056,29.7,75.0,
2025-07-07 09:00:00,0,0.7071067811865476,-0.7071067811865475,0.9438833303083676,0.33027906195516715,32.05625,122.694,31.3,68.0,
2025-07-07 10:00:00,0,0.49999999999999994,-0.8660254037844387,0.9555728057861408,0.2947551744109041,34.29583333333334,88.93,32.9,64.0,
2025-07-07 11:00:00,0,0.258819045102521,-0.9659258262890682,0.9659258262890682,0.25881904510252096,36.19888888888889,152.327,34.0,58.0,
